iter	Passed	Remaining
0	2	251
1	4	237
2	7	230
3	8	212
4	10	207
5	12	199
6	14	194
7	16	191
8	18	187
9	20	185
10	22	182
11	24	180
12	26	176
13	28	173
14	30	172
15	32	169
16	34	167
17	36	164
18	37	161
19	39	158
20	41	155
21	43	152
22	44	150
23	46	147
24	48	144
25	49	141
26	51	138
27	53	137
28	55	135
29	57	134
30	59	131
31	61	129
32	63	127
33	64	125
34	66	123
35	68	121
36	69	118
37	71	115
38	72	113
39	73	110
40	75	108
41	75	104
42	77	102
43	78	100
44	80	97
45	81	95
46	82	93
47	84	91
48	85	89
49	86	86
50	88	84
51	89	82
52	90	80
53	92	78
54	93	76
55	94	74
56	95	72
57	96	70
58	97	68
59	99	66
60	100	64
61	101	62
62	102	60
63	104	58
64	105	56
65	106	55
66	107	53
67	108	51
68	110	49
69	111	47
70	112	45
71	113	44
72	114	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	122	28
81	123	27
82	124	25
83	126	24
84	127	22
85	128	20
86	129	19
87	130	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	137	7
95	137	5
96	138	4
97	139	2
98	141	1
99	142	0
